Source,Target,Type
6704735162,7278044187,directed
1944910755,7278044187,directed
54324637400,7278044187,directed
9231843386,7278044187,directed
2036259304,7278044187,directed
2973310224,7278044187,directed
3482847556,7278044187,directed
4742620867,7278044187,directed
6164989895,7278044187,directed
2032457328,2347943083,directed
31569435269,2347943083,directed
494862188,2347943083,directed
1566341300,2347943083,directed
68834769904,2347943083,directed
13589265664,2347943083,directed
586576035,2347943083,directed
1516647438,2347943083,directed
58016217635,2347943083,directed
7997886480,2347943083,directed
290077274,2347943083,directed
2290640292,2347943083,directed
1413718475,2347943083,directed
37242500924,2347943083,directed
3289958773,2347943083,directed
1693036667,2347943083,directed
6216914472,2347943083,directed
3980563796,2347943083,directed
1781465460,2347943083,directed
231783203,8685046141,directed
5857187457,8685046141,directed
202036779,8685046141,directed
32530474,8685046141,directed
45031773265,8685046141,directed
4151091693,8685046141,directed
6206537530,8685046141,directed
241619877,8685046141,directed
8478194452,8685046141,directed
46682153,8685046141,directed
38594327,8685046141,directed
1002200845,8685046141,directed
4054448007,8685046141,directed
59110673245,8685046141,directed
8754667816,8685046141,directed
927971236,8685046141,directed
51628203360,8685046141,directed
14769418138,8685046141,directed
16950816919,8685046141,directed
11797086141,8685046141,directed
308534271,3665985737,directed
45571432653,3665985737,directed
4505793037,3665985737,directed
577905719,3665985737,directed
38202437,3665985737,directed
2403239636,3665985737,directed
908850955,3665985737,directed
66727021026,3665985737,directed
4404062558,3665985737,directed
57980786737,3665985737,directed
8947694960,3665985737,directed
1755929147,3665985737,directed
553016573,3665985737,directed
2280680381,3665985737,directed
271697959,3665985737,directed
19764040,3665985737,directed
33143989122,3665985737,directed
3086664061,3665985737,directed
197272455,3665985737,directed
48676890,3665985737,directed
1527543874,5955275713,directed
7124161885,5955275713,directed
4191915203,5955275713,directed
370642029,5955275713,directed
146235483,5955275713,directed
578264892,5955275713,directed
4688149685,5955275713,directed
3020058788,5955275713,directed
2845865995,5955275713,directed
51513996845,5955275713,directed
51750883,5955275713,directed
8637819387,5955275713,directed
4259417050,5955275713,directed
492105513,5955275713,directed
1952492130,5955275713,directed
61975126348,5955275713,directed
1906060411,5955275713,directed
32476827,5955275713,directed
181854047,5955275713,directed
296901056,5955275713,directed
18282338615,64700152029,directed
69073231075,64700152029,directed
64116497476,64700152029,directed
67484466857,64700152029,directed
67575164469,64700152029,directed
70177432065,64700152029,directed
70107501522,64700152029,directed
69747203619,64700152029,directed
30321708617,64700152029,directed
69002489097,64700152029,directed
68185639271,64700152029,directed
9132487662,64700152029,directed
68003986787,64700152029,directed
64663554866,64700152029,directed
33227963881,64700152029,directed
64742589392,64700152029,directed
13059312665,64700152029,directed
67974267145,64700152029,directed
68833481441,64700152029,directed
3432159842,64700152029,directed
292009345,31802323604,directed
1743287406,31802323604,directed
493441248,31802323604,directed
204877721,31802323604,directed
287967862,31802323604,directed
5385120402,31802323604,directed
1630086587,31802323604,directed
6009023818,31802323604,directed
8108280637,31802323604,directed
2259918178,31802323604,directed
3313135,31802323604,directed
1208105319,31802323604,directed
45206400704,31802323604,directed
3554261130,31802323604,directed
206018845,31802323604,directed
55404989,31802323604,directed
333703856,31802323604,directed
3019893117,31802323604,directed
3448882806,31802323604,directed
1901363835,31802323604,directed
1392740477,3064768249,directed
520913642,3064768249,directed
1604662723,3064768249,directed
1573516762,3064768249,directed
1777622171,3064768249,directed
51115300,3064768249,directed
462742060,3064768249,directed
3517783983,3064768249,directed
8304747721,3064768249,directed
1550810665,3064768249,directed
871008079,3064768249,directed
4039026617,3064768249,directed
3895066931,3064768249,directed
47609314185,3064768249,directed
495517891,3064768249,directed
804047192,3064768249,directed
2295948356,3064768249,directed
4451904775,3064768249,directed
41555290073,3064768249,directed
511967210,3064768249,directed
9285544249,31547190304,directed
49617709018,31547190304,directed
69768516503,31547190304,directed
70390699831,31547190304,directed
68357860993,31547190304,directed
17443411429,31547190304,directed
69770820879,31547190304,directed
69816952316,31547190304,directed
7182123254,31547190304,directed
2308443628,31547190304,directed
9036822529,31547190304,directed
3705081595,31547190304,directed
1562406886,31547190304,directed
1203092006,31547190304,directed
2464302502,31547190304,directed
50475574126,31547190304,directed
